Product No.,ProductName,Company No.,Registration Status,Appl No.,Appl Status,Auth Type,Received Date,Reviewer,PRODUCT TYPE,is_PDF_downloaded,concat_sub,lookup
91234-336-100947,PESTIE INSECT GROWTH REGULATOR P1,100947,REGISTERED,1308360,CLOSED,ROUTINE,2025-10-01,MATTHEW J GOGIS,INSECTICIDE,False,pestieinsectgrowthregulatorp191234-336-100947,FALSE
53883-351-103215,APEX Plus for Dogs (23-44 lbs),103215,REGISTERED,1292583,CLOSED,ROUTINE,2025-01-03,KATHERINE HETTER,INSECTICIDE,False,apexplusfordogs(23-44lbs)53883-351-103215,FALSE
9688-262-121,"CUTTER OUTDOOR BUG CONTROL PACK (CO-PACK OF CUTTER CITRO GUARD CANDLE, CUTTER ALL FAMILY INSECT REPELLENT 2, CUTTER BACKYARD BUG CONTROL SPRAY CONCENTRATE AND CUTTER BACKYARD BUG CONTROL OUTDOOR FOGGER) (NO APP WITHIN 100FT OF COASTAL MARSH IN NY)",121,DISCONTINUED,1292362,CLOSED,ROUTINE,2025-01-22,KATHERINE HETTER,INSECTICIDE,False,"cutteroutdoorbugcontrolpack(co-packofcuttercitroguardcle,cutterallfamilyinsectrepellent2,cutterbackyardbugcontrolsprayconcentratecutterbackyardbugcontroloutdoorfogger)(noappwithin100ftofcoastalmarshinny)9688-262-121",FALSE
1021-2787-3095,PIC MOSQUITO REPELLING COILS,3095,REGISTERED,1282640,CLOSED,ROUTINE,2024-08-29,KATHERINE HETTER,REPELLENT,False,picmosquitorepellingcoils1021-2787-3095,FALSE
4-440,SPIDER KILLER READY TO USE,4,REGISTERED,1292350,CLOSED,ROUTINE,2025-03-28,KATHERINE HETTER,INSECTICIDE,False,spiderkillerreadytouse4-440,FALSE
5481-460-4,SUCKER PUNCH KNOCK OUT SPROUTS READY TO USE,4,REGISTERED,1292350,CLOSED,ROUTINE,2025-03-28,KATHERINE HETTER,GROWTH REGULATOR,False,suckerpunchknockoutsproutsreadytouse5481-460-4,FALSE
67702-2-4,BONIDE LIQUID COPPER FUNGICIDE CONCENTRATE,4,DISCONTINUED,1292350,CLOSED,ROUTINE,2025-03-28,KATHERINE HETTER,FUNGICIDE,False,bonideliquidcopperfungicideconcentrate67702-2-4,FALSE
67702-54-4,CAPTAIN JACK'S DEADWEED BREW CONCENTRATE,4,REGISTERED,1292350,CLOSED,ROUTINE,2025-03-28,KATHERINE HETTER,"ALGAECIDE, HERBICIDE",False,captainjack'sdeadweedbrewconcentrate67702-54-4,FALSE
70051-13-4,NEEM OIL FUNGICIDE-MITICIDE-INSECTICIDE READY TO USE,4,DISCONTINUED,1292350,CLOSED,ROUTINE,2025-03-28,KATHERINE HETTER,"FUNGICIDE, INSECTICIDE, MITICIDE",False,neemoilfungicide-miticide-insecticidereadytouse70051-13-4,FALSE
4091-15,DampRid Moisture Absorber1 (Refillable),4091,REGISTERED,1288102,CLOSED,ROUTINE,2024-10-29,KATHERINE HETTER,"ANTIMICROBIAL, FUNGICIDE",False,dampridmoistureabsorber1(refillable)4091-15,FALSE
4091-15,DAMPRID MOISTURE ABSORBER 1,4091,REGISTERED,1288102,CLOSED,ROUTINE,2024-10-29,KATHERINE HETTER,"ANTIMICROBIAL, FUNGICIDE",False,dampridmoistureabsorber14091-15,FALSE
4091-19,"Mold Armor E-Z Deck, Fence & Patio Wash",4091,REGISTERED,1288102,CLOSED,ROUTINE,2024-10-29,KATHERINE HETTER,"ANTIMICROBIAL, FUNGICIDE",False,"moldarmore-zdeck,fencepatiowash4091-19",FALSE
