Product No.,ProductName,Company No.,Registration Status,Appl No.,Appl Status,Auth Type,Received Date,Reviewer,PRODUCT TYPE,LONG ISLAND USE RESTRICTION,Formulation,PRODUCT ID,TOXICITY,PRODUCT USE,is_PDF_downloaded,pdf_filename
100-1098,QUADRIS FLOWABLE FUNGICIDE (2EE - DOWNY MILDEW),00COR,REGISTERED,15982,CLOSED,2EE,2009-08-11,,FUNGICIDE,FALSE,Liquid,144255,"AQUATIC INVERTEBRATES, FISH",AGRICULTURAL,TRUE,QUADRIS_FLOWABLE_FUNGICIDE_(2EE_-_DOWNY_MILDEW)_100-1098_PRIMARY_LABEL_519481.pdf
264-827,ADMIRE PRO SYSTEMIC PROTECTANT (2EE - SWEDE MIDGE),00COR,REGISTERED,14441,CLOSED,2EE,2009-02-20,,INSECTICIDE,FALSE,Liquid,138761,"AQUATIC INVERTEBRATES, BEES, WILDLIFE",AGRICULTURAL,TRUE,ADMIRE_PRO_SYSTEMIC_PROTECTANT_(2EE_-_SWEDE_MIDGE)_264-827_PRIMARY_LABEL_517804.pdf
55146-64,CHAMP FORMULA 2 FLOWABLE  [UNRESTRICTED AS OF 9/21/2005] (2EE - PHYTOPHORA BLIGHT IN PEPPER),00COR,REGISTERED,5681,CLOSED,2EE,2006-07-05,,FUNGICIDE,FALSE,Liquid,112480,FISH,AGRICULTURAL,TRUE,CHAMP_FORMULA_2_FLOWABLE__[UNRESTRICTED_AS_OF_9_21_2005]_(2EE_-_PHYTOPHORA_BLIGHT_IN_PEPPER)_55146-64_PRIMARY_LABEL_507590.pdf
55146-64,CHAMP FORMULA 2 FLOWABLE (2EE - PHYTOPHTHORA BLIGHT IN CUCURBIT),00COR,REGISTERED,4999,CLOSED,2EE,2006-04-10,,FUNGICIDE,FALSE,Liquid,110388,FISH,AGRICULTURAL,TRUE,CHAMP_FORMULA_2_FLOWABLE_(2EE_-_PHYTOPHTHORA_BLIGHT_IN_CUCURBIT)_55146-64_PRIMARY_LABEL_506865.pdf
100-1295,WARRIOR II WITH ZEON TECHNOLOGY (25 FOOT BUFFER STRIP TO COASTAL MARSHES) (2EE - LEEK MOTH),00USDA,REGISTERED,19181,CLOSED,2EE,2010-07-08,,INSECTICIDE,FALSE,Liquid,154272,"AQUATIC INVERTEBRATES, BEES, FISH, WILDLIFE",AGRICULTURAL,TRUE,WARRIOR_II_WITH_ZEON_TECHNOLOGY_(25_FOOT_BUFFER_STRIP_TO_COASTAL_MARSHES)_(2EE_-_LEEK_MOTH)_100-1295_PRIMARY_LABEL_523481.pdf
352-384,DUPONT LANNATE LV INSECTICIDE (2EE - LEEK MOTH),00USDA,REGISTERED,19181,CLOSED,2EE,2010-07-08,,INSECTICIDE,FALSE,Liquid,154274,"AQUATIC INVERTEBRATES, BEES, BIRDS, DOMESTIC ANIMALS, FISH, WILDLIFE",AGRICULTURAL,TRUE,DUPONT_LANNATE_LV_INSECTICIDE_(2EE_-_LEEK_MOTH)_352-384_PRIMARY_LABEL_523482.pdf
62719-282,ENTRUST (2EE - LEEK MOTH),00USDA,REGISTERED,19181,CLOSED,2EE,2010-07-08,,INSECTICIDE,FALSE,Solid,154275,"AQUATIC INVERTEBRATES, BEES",AGRICULTURAL,TRUE,ENTRUST_(2EE_-_LEEK_MOTH)_62719-282_PRIMARY_LABEL_523483.pdf
62719-545,RADIANT SC (2EE - LEEK MOTH),00USDA,REGISTERED,19181,CLOSED,2EE,2010-07-08,,INSECTICIDE,FALSE,Liquid,154273,"AQUATIC INVERTEBRATES, BEES",AGRICULTURAL,TRUE,RADIANT_SC_(2EE_-_LEEK_MOTH)_62719-545_PRIMARY_LABEL_523484.pdf
73049-39,DIPEL DF DRY FLOWABLE BIOLOGICAL INSECTICIDE (2EE - LEEK MOTH),00USDA,REGISTERED,19181,CLOSED,2EE,2010-07-08,,INSECTICIDE,FALSE,,154276,NONE,AGRICULTURAL,TRUE,DIPEL_DF_DRY_FLOWABLE_BIOLOGICAL_INSECTICIDE_(2EE_-_LEEK_MOTH)_73049-39_PRIMARY_LABEL_523486.pdf
100-1000,DEMON WP INSECTICIDE IN WATER SOLUBLE PACKETS,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,INSECTICIDE,FALSE,Solid,38893,"AQUATIC INVERTEBRATES, BEES, FISH","COMMERCIAL, ORNAMENTAL, RESIDENTIAL, STRUCTURAL, TURF",TRUE,DEMON_WP_INSECTICIDE_IN_WATER_SOLUBLE_PACKETS_100-1000_PRIMARY_LABEL_570301.pdf
