Product No.,ProductName,Company No.,Registration Status,Appl No.,Appl Status,Auth Type,Received Date,Reviewer,PRODUCT TYPE,LONG ISLAND USE RESTRICTION,Formulation,PRODUCT ID,TOXICITY,PRODUCT USE,is_PDF_downloaded,pdf_filename,txt_file_len,each_page_len,text_contains_product_name,text_contains_children,text_contains_epa_no,each_page_has_text,OCR_text_contains_product_name,OCR_text_contains_children,OCR_text_contains_epa_no,OCR_needed,runOCR_reason,Post_OCR_char_per_page,OCR_v_Original,final_determination,agricultural_use_requirements_and_restricted_entry_interval
100-1000,DEMON WP INSECTICIDE IN WATER SOLUBLE PACKETS,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,INSECTICIDE,False,Solid,38893,"AQUATIC INVERTEBRATES, BEES, FISH","COMMERCIAL, ORNAMENTAL, RESIDENTIAL, STRUCTURAL, TURF",True,DEMON_WP_INSECTICIDE_IN_WATER_SOLUBLE_PACKETS_100-1000_PRIMARY_LABEL_570301.pdf,35979.0,"[1428, 4148, 5172, 4392, 5177, 2509, 5281, 3297, 4197]",True,True,True,True,,,,False,,,,,none
100-1014,TRIMMIT 2SC PLANT GROWTH REGULATOR,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,GROWTH REGULATOR,False,Liquid,38897,NONE,TURF,True,TRIMMIT_2SC_PLANT_GROWTH_REGULATOR_100-1014_PRIMARY_LABEL_574491.pdf,27411.0,"[768, 1390, 1254, 2656, 1712, 2279, 1607, 1720, 867, 2192, 2328, 2418, 934, 466, 4178]",True,True,True,True,,,,False,,,,,both
100-1050,TALON-G RODENTICIDE BAIT PACK MINI-PELLETS CONTAINS BITREX,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,RODENTICIDE,False,Solid,38900,"BIRDS, DOMESTIC ANIMALS, FISH, WILDLIFE","COMMERCIAL, INSTITUTIONAL, RESIDENTIAL, STRUCTURAL",True,TALON-G_RODENTICIDE_BAIT_PACK_MINI-PELLETS_CONTAINS_BITREX_100-1050_PRIMARY_LABEL_537463.pdf,12282.0,"[1325, 3863, 4846, 2080]",True,True,True,True,,,,False,,,,,none
100-1055,TALON WEATHERBLOK XT                                                  ,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,RODENTICIDE,False,Solid,221519,"BIRDS, DOMESTIC ANIMALS, FISH, WILDLIFE","COMMERCIAL, INDUSTRIAL, RESIDENTIAL, STRUCTURAL",True,TALON_WEATHERBLOK_XT_100-1055_PRIMARY_LABEL_549522.pdf,12685.0,"[1148, 3836, 5685, 1848]",True,True,True,True,,,,False,,,,,none
100-1061,REGLONE DESICCANT,100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,HERBICIDE,False,Liquid,40507,AQUATIC INVERTEBRATES,"AGRICULTURAL, NON-CROP",True,REGLONE_DESICCANT_100-1061_PRIMARY_LABEL_543578.pdf,37141.0,"[1127, 2382, 3263, 3568, 2483, 1482, 2964, 3123, 2207, 1569, 1075, 1724, 4078, 360, 5094]",True,True,True,True,,,,False,,,,,both
100-1066,DEMAND CS INSECTICIDE (NO USE WITHIN 100 FT. OF COASTAL MARSHES),100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,INSECTICIDE,False,Liquid,38909,"AQUATIC INVERTEBRATES, BEES, FISH","COMMERCIAL, INSTITUTIONAL, ORNAMENTAL, RESIDENTIAL, STRUCTURAL, TURF",True,DEMAND_CS_INSECTICIDE_(NO_USE_WITHIN_100_FT._OF_COASTAL_MARSHES)_100-1066_PRIMARY_LABEL_594285.pdf,51475.0,"[1265, 2840, 4408, 3805, 1293, 4292, 4442, 4344, 3165, 2970, 1096, 2432, 2188, 2527, 3386, 536, 5756]",True,True,True,True,,,,False,,,,,none
100-1066,PATROL (NO USE WITHIN 100' OF COASTAL MARSHES IN NYS),100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,INSECTICIDE,False,Liquid,150840,"AQUATIC INVERTEBRATES, BEES, FISH","COMMERCIAL, INSTITUTIONAL, ORNAMENTAL, RESIDENTIAL, STRUCTURAL, TURF",True,PATROL_(NO_USE_WITHIN_100'_OF_COASTAL_MARSHES_IN_NYS)_100-1066_PRIMARY_LABEL_592697.pdf,50877.0,"[1500, 8, 2856, 4425, 3898, 1289, 4314, 4566, 4216, 2667, 2850, 1081, 2341, 2308, 2968, 3128, 5732]",True,True,True,True,True,True,True,Page_specific_OCR,1 out of 17 pages need OCR because they are less than 300 characters (pages: [2]),"[1500, 6, 2856, 4425, 3898, 1289, 4314, 4566, 4216, 2667, 2850, 1081, 2341, 2308, 2968, 3128, 5732]",Original,Original,none
100-1066,BORDER (no app within 100 ft of coastal marsh in ny),100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,INSECTICIDE,False,Liquid,228703,"AQUATIC INVERTEBRATES, BEES, FISH","COMMERCIAL, INSTITUTIONAL, ORNAMENTAL, RESIDENTIAL, STRUCTURAL, TURF",True,BORDER_(no_app_within_100_ft_of_coastal_marsh_in_ny)_100-1066_PRIMARY_LABEL_560849.pdf,49014.0,"[1228, 1752, 2116, 2436, 2142, 2386, 1006, 1572, 2672, 2359, 3113, 2821, 1420, 1451, 2309, 1783, 1088, 2076, 910, 1434, 2092, 1852, 475, 978, 4461]",True,True,True,True,,,,False,,,,,none
100-1070,"FUSILADE DX HERBICIDE (NOT FOR SALE, USE, OR DISTRIBUTION IN NASSAU AND SUFFOLK COUNTIES)",100,REGISTERED,1301365,CLOSED,ROUTINE,2025-06-05,MATTHEW J GOGIS,HERBICIDE,True,Liquid,165164,"AQUATIC INVERTEBRATES, FISH","AGRICULTURAL, NON-CROP",True,"FUSILADE_DX_HERBICIDE_(NOT_FOR_SALE,_USE,_OR_DISTRIBUTION_IN_NASSAU_AND_SUFFOLK_COUNTIES)_100-1070_PRIMARY_LABEL_600147.pdf",120507.0,"[1210, 1505, 1587, 1910, 2694, 2895, 2973, 2848, 2954, 2462, 3721, 3981, 3579, 2850, 1678, 1482, 769, 2163, 1033, 1503, 1646, 1484, 1606, 2229, 2215, 2312, 1719, 2202, 1334, 1747, 1535, 2059, 1698, 2381, 2030, 2411, 1597, 1296, 1256, 1405, 2257, 2521, 2774, 2743, 2138, 1901, 2070, 1795, 1815, 3629, 2990, 721, 982, 726, 3305, 3735]",True,True,True,True,,,,False,,,,,both
100-1075,FORCE 3G INSECTICIDE (NYS MAX RATE 0.164 LB AI/A/YR),100,REGISTERED,1288082,CLOSED,ROUTINE,2024-11-08,KATHERINE HETTER,INSECTICIDE,False,Solid,38911,"AQUATIC INVERTEBRATES, FISH",AGRICULTURAL,True,FORCE_3G_INSECTICIDE_(NYS_MAX_RATE_0.164_LB_AI_A_YR)_100-1075_PRIMARY_LABEL_552887.pdf,21850.0,"[1227, 3705, 4918, 4986, 3374, 2134, 1212]",True,True,True,True,,,,False,,,,,both
