original_target_name,original_crop,original_target_type,source_target_type,new_target_name,new_target_type,new_target_species,source_refined,deployed,main_target_list
Achlya,Alfalfa,Disease,Disease,Achlya,,Achlya spp.,LLM:gpt-5.2,True,False
Aerial Web Blight,Alfalfa,Disease,Disease,Aerial Web Blight,,,LLM:gpt-5.2,True,False
Albugo,Alfalfa,Disease,Disease,White Rust,,Albugo spp.,LLM:gpt-5.2,True,False
Alfalfa Seed Chalcid (Adult),Alfalfa,Disease,Insects,Alfalfa Seed Chalcid,,,LLM:gpt-5.2,True,False
Alfalfa Weevil,Alfalfa,Disease,Insects,Alfalfa Weevil,,,LLM:gpt-5.2,True,False
Alternaria Leaf and Fruit Spot,Alfalfa,Disease,Disease,Alternaria Leaf Spot,,Alternaria spp.,LLM:gpt-5.2,True,False
Alternaria spp.,Alfalfa,Disease,Disease,Alternaria Leaf Spot,,Alternaria spp.,LLM:gpt-5.2,True,False
Anthracnose (Colletotrichum trifolii),Alfalfa,Disease,Disease,Anthracnose,,Colletotrichum spp.,LLM:gpt-5.2,True,False
Anthracnose and Black Stem Rot,Alfalfa,Disease,Disease,Anthracnose and Black Stem Rot,,,LLM:gpt-5.2,True,False
Aphanomyces,Alfalfa,Disease,Disease,Aphanomyces Root Rot,,Aphanomyces spp.,LLM:gpt-5.2,True,False
Aphanomyces Root Rot,Alfalfa,Disease,Disease,Aphanomyces Root Rot,,Aphanomyces spp.,LLM:gpt-5.2,True,False
Aphanomyces euteiches,Alfalfa,Disease,Disease,Aphanomyces Root Rot,,Aphanomyces spp.,LLM:gpt-5.2,True,False
Aphanomyces spp.,Alfalfa,Disease,Disease,Aphanomyces Root Rot,,Aphanomyces spp.,LLM:gpt-5.2,True,False
Armillaria Root Rot,Alfalfa,Disease,Disease,Armillaria Root Rot,,Armillaria spp.,LLM:gpt-5.2,True,False
Armillaria spp.,Alfalfa,Disease,Disease,Armillaria Root Rot,,Armillaria spp.,LLM:gpt-5.2,True,False
Ascochyta medicaginicola,Alfalfa,Disease,Disease,Ascochyta Leaf Spot,,Ascochyta spp.,LLM:gpt-5.2,True,False
Ascochyta spp.,Alfalfa,Disease,Disease,Ascochyta Leaf Spot,,Ascochyta spp.,LLM:gpt-5.2,True,False
Aspergillus spp.,Alfalfa,Disease,Disease,Aspergillus Rot,,Aspergillus spp.,LLM:gpt-5.2,True,False
Atlantic Mite,Alfalfa,Disease,Insects,Strawberry Mite,,,LLM:gpt-5.2,True,False
