original_target_name,original_crop,original_target_type,new_target_name,new_target_type,deployed,main_target_list,,,,,,
Achlya,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Aerial Web Blight,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Albugo,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Alfalfa Seed Chalcid (Adult),Alfalfa,Disease,,Insect,TRUE,FALSE,,,,,,
Alfalfa Weevil,Alfalfa,Disease,,Insect,TRUE,FALSE,,,,,,
Alfalfa Worms,Alfalfa,Disease,,Insect,TRUE,FALSE,,,,,,
Alfalfa caterpillar,Alfalfa,Disease,,Insect,TRUE,FALSE,,,,,,
Alfalfa looper,Alfalfa,Disease,,Insect,TRUE,FALSE,,,,,,
Alternaria,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Alternaria Leaf Spot,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Alternaria Leaf Spots,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Alternaria Leaf and Fruit Spot,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Alternaria Leafspot,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Alternaria spp.,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Anthracnose,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Anthracnose (Colletotrichum trifolii),Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Anthracnose and Black Stem Rot,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Anthracnoses,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Aphanomyces,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Aphanomyces Root Rot,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Aphanomyces euteiches,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Aphanomyces spp.,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Aphid,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Armillaria Root Rot,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Armillaria spp.,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Army cutworm,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Armyworm,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Armyworms,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Ascochyta medicaginicola,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Ascochyta spp.,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Asiatic garden beetle,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Aspergillus spp.,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Aster leafhopper,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Atlantic Mite,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Atlantic mites,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Awl nematodes (Dolichodorus species),Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Bacterial Soft Rot,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Bacterial Spot,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Bacterial blight,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Bacterial blight/streak,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Bacterial wilt,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Basidiophora,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Bean Leaf Beetle,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Bean Leaf Beetle (Adult),Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Bean leaf Beetles,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Beet Armyworm,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Beetles,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Billbugs,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Black Patch,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Black Spot,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Black stem,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Black stem (Phoma medicaginis),Alfalfa,Disease,,,TRUE,FALSE,,,,,,
Blister Beetle species,Alfalfa,Disease,,,TRUE,FALSE,,,,,,
