original_target_name,original_crop,original_target_type,source_target_type,new_target_name,new_target_type,new_target_species,source_refined,deployed,main_target_list,__needs
Achlya,Alfalfa,Disease,Disease,,,,,True,False,True
Aerial Web Blight,Alfalfa,Disease,Disease,,,,,True,False,True
Albugo,Alfalfa,Disease,Disease,,,,,True,False,True
Alfalfa Seed Chalcid (Adult),Alfalfa,Disease,Insects,,Insect,,,True,False,True
Alfalfa Weevil,Alfalfa,Disease,Insects,,Insect,,,True,False,True
Alfalfa Worms,Alfalfa,Disease,Insects,,Insect,,,True,False,True
Alfalfa caterpillar,Alfalfa,Disease,Insects,,Insect,,,True,False,True
Alfalfa looper,Alfalfa,Disease,Insects,,Insect,,,True,False,True
Alternaria,Alfalfa,Disease,Disease,,,,,True,False,True
Alternaria Leaf Spot,Alfalfa,Disease,Disease,,,,,True,False,True
Alternaria Leaf and Fruit Spot,Alfalfa,Disease,Disease,,,,,True,False,True
Alternaria spp.,Alfalfa,Disease,Disease,,,,,True,False,True
Anthracnose,Alfalfa,Disease,Disease,,,,,True,False,True
Anthracnose (Colletotrichum trifolii),Alfalfa,Disease,Disease,,,,,True,False,True
Anthracnose and Black Stem Rot,Alfalfa,Disease,Disease,,,,,True,False,True
Aphanomyces,Alfalfa,Disease,Disease,,,,,True,False,True
Aphanomyces Root Rot,Alfalfa,Disease,Disease,,,,,True,False,True
Aphanomyces euteiches,Alfalfa,Disease,Disease,,,,,True,False,True
Aphanomyces spp.,Alfalfa,Disease,Disease,,,,,True,False,True
Aphid,Alfalfa,Disease,Insects,,,,,True,False,True
Armillaria Root Rot,Alfalfa,Disease,Disease,,,,,True,False,True
Armillaria spp.,Alfalfa,Disease,Disease,,,,,True,False,True
Army cutworm,Alfalfa,Disease,Insects,,,,,True,False,True
Armyworm,Alfalfa,Disease,Insects,,,,,True,False,True
Ascochyta medicaginicola,Alfalfa,Disease,Disease,,,,,True,False,True
Ascochyta spp.,Alfalfa,Disease,Disease,,,,,True,False,True
Asiatic garden beetle,Alfalfa,Disease,Insects,,,,,True,False,True
Aspergillus spp.,Alfalfa,Disease,Disease,,,,,True,False,True
Aster leafhopper,Alfalfa,Disease,Insects,,,,,True,False,True
Atlantic Mite,Alfalfa,Disease,Insects,,,,,True,False,True
Awl nematodes (Dolichodorus species),Alfalfa,Disease,Disease,,,,,True,False,True
Bacterial Soft Rot,Alfalfa,Disease,Disease,,,,,True,False,True
Bacterial Spot,Alfalfa,Disease,Disease,,,,,True,False,True
Bacterial blight,Alfalfa,Disease,Disease,,,,,True,False,True
Bacterial blight/streak,Alfalfa,Disease,Disease,,,,,True,False,True
Bacterial wilt,Alfalfa,Disease,Disease,,,,,True,False,True
Basidiophora,Alfalfa,Disease,Disease,,,,,True,False,True
Bean Leaf Beetle,Alfalfa,Disease,Insects,,,,,True,False,True
Bean Leaf Beetle (Adult),Alfalfa,Disease,Insects,,,,,True,False,True
Beet Armyworm,Alfalfa,Disease,Insects,,,,,True,False,True
Beetles,Alfalfa,Disease,Insects,,,,,True,False,True
Billbugs,Alfalfa,Disease,Insects,,,,,True,False,True
Black Patch,Alfalfa,Disease,Disease,,,,,True,False,True
Black Spot,Alfalfa,Disease,Disease,,,,,True,False,True
Black stem,Alfalfa,Disease,Disease,,,,,True,False,True
Black stem (Phoma medicaginis),Alfalfa,Disease,Disease,,,,,True,False,True
Blister Beetle species,Alfalfa,Disease,Insects,,,,,True,False,True
Blister Beetle spp.,Alfalfa,Disease,Insects,,,,,True,False,True
Blossom Blight,Alfalfa,Disease,Disease,,,,,True,False,True
Blotch Leafminer,Alfalfa,Disease,Insects,,,,,True,False,True
Blue Alfalfa Aphid,Alfalfa,Disease,Insects,,,,,True,False,True
Boll Worms,Alfalfa,Disease,Insects,,,,,True,False,True
Boll weevils,Alfalfa,Disease,Insects,,,,,True,False,True
Borers,Alfalfa,Disease,Insects,,,,,True,False,True
Botrytis,Alfalfa,Disease,Disease,,,,,True,False,True
Botrytis (shoot and flower blight),Alfalfa,Disease,Disease,,,,,True,False,True
Botrytis cinerea,Alfalfa,Disease,Disease,,,,,True,False,True
Botrytis spp,Alfalfa,Disease,Disease,,,,,True,False,True
Brown Rot Blossom Blight,Alfalfa,Disease,Disease,,,,,True,False,True
Brown Spot,Alfalfa,Disease,Disease,,,,,True,False,True
Brown rot/leaf spots/smuts,Alfalfa,Disease,Disease,,,,,True,False,True
Budworms,Alfalfa,Disease,Insects,,,,,True,False,True
Burkholderia glumae,Alfalfa,Disease,Disease,,,,,True,False,True
Burrowing nematode (Radopholus similis),Alfalfa,Disease,Disease,,,,,True,False,True
Cabbage looper,Alfalfa,Disease,Insects,,,,,True,False,True
Canada thistle,Alfalfa,Disease,Weeds,,,,,True,False,True
Casebearers,Alfalfa,Disease,Insects,,,,,True,False,True
Caterpillars,Alfalfa,Disease,Insects,,,,,True,False,True
Cephalosporium maydis,Alfalfa,Disease,Disease,,,,,True,False,True
Cercospora & Leptosphaerulina Leaf Spots,Alfalfa,Disease,Disease,,,,,True,False,True
Cercospora Blight,Alfalfa,Disease,Disease,,,,,True,False,True
Cercospora Leaf Spot,Alfalfa,Disease,Disease,,,,,True,False,True
Cercospora medicaginis,Alfalfa,Disease,Disease,,,,,True,False,True
Cereal Leaf Beetle,Alfalfa,Disease,Insects,,,,,True,False,True
Charcoal Rot,Alfalfa,Disease,Disease,,,,,True,False,True
Chinch bug,Alfalfa,Disease,Insects,,,,,True,False,True
Citrus nematode (Tylenchulus semipenetrans),Alfalfa,Disease,Disease,,,,,True,False,True
Cladosporium spp.,Alfalfa,Disease,Disease,,,,,True,False,True
Clover Leaf Weevil spp.,Alfalfa,Disease,Insects,,,,,True,False,True
Clover Root Borer (Adult),Alfalfa,Disease,Insects,,,,,True,False,True
Clover Root Curculio spp. (Adult),Alfalfa,Disease,Insects,,,,,True,False,True
Clover Stem Borer (Adult),Alfalfa,Disease,Insects,,,,,True,False,True
