Original_Target,Count,Examples,Suggested_Simplified_Target,Target_Type,Notes
12 Spotted Cucumber Beetle,18,Perma Guard Garden and Plant Protection Insecticide,,,
12-Spotted Cucumber Beetles,7,AgriDiatomSil; Unicorn House Plant Spray,,,
12-spotted Cucumber Beetle,42,Dairy & Livestock Spray Concentrate; PYGANIC Crop Protection EC 1.4; PyGanic Crop Protection EC 5.0; BONIDE Pyrethrin Concentrate 60-6,,,
12-spotted Cucumber Beetles,25,Pyrocide® Garden Spray Pressurized 30211; LN 1% PY,,,
12-spotted cucumber beetles,13,"Bonide Rose, Flower & Ornamental Insect Spray Ready-to-Use; R & M 30-3 Pyrethrin E.C.",,,
1st and 2nd instar caterpillars,4,IS-27,,,
4-D susceptible broadleaf weeds,2,"DREXEL DE-AMINE 4; 2,4-D Amine 4",,,
Abiotic stress,40,Bio-Forge® Premier; Bio-HOLD Premier; CHB-SR,,,
Abiotic stress tolerance,21,Persevere,,,
Acalypha ostryeafolia,8,F6285 4F CAL Herbicide,,,
Acalypha virginica,8,F6285 4F CAL Herbicide,,,
Acanthospermum hispidum,8,F6285 4F CAL Herbicide,,,
Accelerate fruit maturation in greenhouse tomatoes,1,Nufarm Ethephon 2 Plant Growth Regulator,,,
Accelerate ripening,3,Ethephon 2SL,,,
Accelerated fruit ripening,16,Sunaider,,,
Accelerated natural ripening,4,Sunaider,,,
Accelerated ripening,2,Restrain Ethylene Generator Fuel,,,
Accelerated ripening (fresh market California),1,Ethrel Brand Ethephon Plant Regulator,,,
Accelerated ripening (processed early/mid),1,Ethrel Brand Ethephon Plant Regulator,,,
Accelerated ripening (processed late),1,Ethrel Brand Ethephon Plant Regulator,,,
Acetobacter bacteria (sour rot),1,FROSTBAN B,,,
Ach eina Sphinx Moth,1,Xentari AS Biological Insecticide,,,
Achema Sphinx Moth,19,BioproTeK; Bioprotec PLUS; Danitol 2.4 EC Spray; BMP 123 (2X WP); BIOBIT HP BIOLOGICAL INSECTICIDE WETTABLE POWDER,,,
Achema Sphinx Moth (Hornworm),5,DIPEL WDG; Foray 76B Flowable Concentrate,,,
Achema Sphinx Moth (hornworm),3,VST-006330 EP,,,
Achema sphinx moth,12,Condor WP; Crymax®; Cutlass; Condor XL,,,
Achemon sphinx moth,5,Lepinox® WDG,,,
Acremonium / Cephalosporium Hypocotyl Rot,4,LPI.A016; Avalaire T-Methyl 4.5F; Thiophanate Methyl 4.5F AG; Omni Brand T-methyl 4.5F Fungicide,,,
Acremonium Hypocotyl Rot,2,AX TM-540; LPI Thio-M 70 WSB,,,
Acremonium spp.,1,TS601®,,,
Acremonium/ Cephalosporium Hypocotyl Rot,1,T-Methyl 4.5L,,,
