Original_Target,Suggested_Simplified_Target and Disease Common Name,Target_Type,Crop/Specification,Causal organism,Count,Examples,Notes,,,,Count:,2584
12 Spotted Cucumber Beetle,12-spotted Cucumber Beetle,Insect,,,18,Perma Guard Garden and Plant Protection Insecticide,,,,,,
12-spotted Cucumber Beetle,12-spotted Cucumber Beetle,Insect,,,42,Dairy & Livestock Spray Concentrate; PYGANIC Crop Protection EC 1.4; PyGanic Crop Protection EC 5.0; BONIDE Pyrethrin Concentrate 60-6,,,,,,
12-Spotted Cucumber Beetles,12-spotted Cucumber Beetle,Insect,,,7,AgriDiatomSil; Unicorn House Plant Spray,,,,,,
12-spotted Cucumber Beetles,12-spotted Cucumber Beetle,Insect,,,25,Pyrocide® Garden Spray Pressurized 30211; LN 1% PY,,,,,,
12-spotted cucumber beetles,12-spotted Cucumber Beetle,Insect,,,13,"Bonide Rose, Flower & Ornamental Insect Spray Ready-to-Use; R & M 30-3 Pyrethrin E.C.",,,,,,
1st and 2nd instar caterpillars,Caterpillars/Moths,Insect,,,4,IS-27,,,,,,
4-D susceptible broadleaf weeds,Broadleaf Weeds,Weed,,,2,"DREXEL DE-AMINE 4; 2,4-D Amine 4",,,,,,
Abiotic stress,Abiotic stress,Other,,,40,Bio-Forge® Premier; Bio-HOLD Premier; CHB-SR,Review needed - unclear target type,,,,,
Abiotic stress tolerance,Abiotic stress,Other,,,21,Persevere,Review needed - unclear target type,,,,,
Acalypha ostryeafolia,Acalypha ostryeafolia,Other,,,8,F6285 4F CAL Herbicide,Review needed - unclear target type,,,,,
Acalypha virginica,Acalypha virginica,Other,,,8,F6285 4F CAL Herbicide,Review needed - unclear target type,,,,,
Acanthospermum hispidum,Acanthospermum hispidum,Insect,,,8,F6285 4F CAL Herbicide,,,,,,
Accelerate fruit maturation in greenhouse tomatoes,Growth regulation,Vertebrate,,,1,Nufarm Ethephon 2 Plant Growth Regulator,,,,,,
Accelerate ripening,Growth regulation,Vertebrate,,,3,Ethephon 2SL,,,,,,
Accelerated fruit ripening,Growth regulation,Vertebrate,,,16,Sunaider,,,,,,
Accelerated natural ripening,Growth regulation,Vertebrate,,,4,Sunaider,,,,,,
Accelerated ripening,Growth regulation,Vertebrate,,,2,Restrain Ethylene Generator Fuel,,,,,,
Accelerated ripening (fresh market California),Growth regulation,Vertebrate,,,1,Ethrel Brand Ethephon Plant Regulator,,,,,,
Accelerated ripening (processed early/mid),Growth regulation,Vertebrate,,,1,Ethrel Brand Ethephon Plant Regulator,,,,,,
Accelerated ripening (processed late),Growth regulation,Vertebrate,,,1,Ethrel Brand Ethephon Plant Regulator,,,,,,
Acetobacter bacteria (sour rot),Sour Rot,Disease,,Acetobacter,1,FROSTBAN B,,,,,,
Ach eina Sphinx Moth,Achema Sphinx Moth,Insect,,,1,Xentari AS Biological Insecticide,,,,,,
Achema Sphinx Moth,Achema Sphinx Moth,Insect,,,19,BioproTeK; Bioprotec PLUS; Danitol 2.4 EC Spray; BMP 123 (2X WP); BIOBIT HP BIOLOGICAL INSECTICIDE WETTABLE POWDER,,,,,,
Achema sphinx moth,Achema Sphinx Moth,Insect,,,12,Condor WP; Crymax®; Cutlass; Condor XL,,,,,,
Achema Sphinx Moth (Hornworm),Achema Sphinx Moth,Insect,,,5,DIPEL WDG; Foray 76B Flowable Concentrate,,,,,,
Achema Sphinx Moth (hornworm),Achema Sphinx Moth,Insect,,,3,VST-006330 EP,,,,,,
Achemon sphinx moth,Achema Sphinx Moth,Insect,,,5,Lepinox® WDG,,,,,,
Acremonium / Cephalosporium Hypocotyl Rot,Acremonium / Cephalosporium Hypocotyl Rot,Disease,,,4,LPI.A016; Avalaire T-Methyl 4.5F; Thiophanate Methyl 4.5F AG; Omni Brand T-methyl 4.5F Fungicide,,,,,,
Acremonium Hypocotyl Rot,Acremonium / Cephalosporium Hypocotyl Rot,Disease,,,2,AX TM-540; LPI Thio-M 70 WSB,,,,,,
Acremonium spp.,Acremonium spp.,Disease,,,1,TS601®,Review needed - unclear target type,,,,,
Acremonium/ Cephalosporium Hypocotyl Rot,Acremonium / Cephalosporium Hypocotyl Rot,Disease,,,1,T-Methyl 4.5L,,,,,,
Acremonium/Cephalosporium Hypocotyl Rot,Acremonium / Cephalosporium Hypocotyl Rot,Disease,,,11,Avalaire T-Methyl 70 WSP; NUFARM T-METHYL 70 WSB FUNGICIDE; Sharda Thiophanate 46.2% SC; Liberty TM 70 WSB; AX TM 70 WSB,,,,,,
Aculus sp.,Aculus sp.,Other,,,6,LN 1% PY,Review needed - unclear target type,,,,,
Adelgids,Adelgids,Other,,,207,A1115.04; Aloft GC SC; Aerosol NEU1161 RTU; A171.13; Aloft LC SC,Review needed - unclear target type,,,,,
Adult citrus weevils,Citrus weevils,Insect,,,1,Drexel Carbaryl 4L,,,,,,
adult floodwater mosquitoes,Mosquitoes,Insect,,,3,MetaLarv S-PT Mosquito Growth Regulator Spherical Pellet,,,,,,
Adult Japanese beetles,Japanese beetles,Insect,,,15,GRANDEVO,,,,,,
Adult Leaf Eating Beetles,Beetles,Insect,,,1,RaVida 8.5 SL Insecticide,,,,,,
Adult leaf eating beetles,Beetles,Insect,,,1,Retriever® Insecticide,,,,,,
Adult Mosquitoes,Mosquitoes,Insect,,,20,PRO-MATE UL 4-4; PRO-MATE UL 31-66; PRENTOX PERM-X UL 31-66; BIOMIST® 31+66 ULV,,,,,,
Adult mosquitoes,Mosquitoes,Insect,,,500,AllPro Aqualuer 30-30; AllPro Evoluer 2-2 ULV; AllPro Aqualuer 20-20; AllPro Evoluer 30-30 ULV; AllPro Evoluer 31-66 ULV,,,,,,
Adult mosquitoes and biting flies,"Mosquitoes, Biting flies",Insect,,,44,PERMASEASE 30-30,split,,,,,
Adult Root Weevils,Root weevils,Insect,,,3,EsfenStar 8% EC; Dupont Asana XL Insecticide,,,,,,
Adult root weevils,Root weevils,Insect,,,4,Minecto Pro; Exirel Insect Control,,,,,,
adult standing water mosquitoes,Mosquitoes,Insect,,,3,MetaLarv S-PT Mosquito Growth Regulator Spherical Pellet,,,,,,
Adult Walnut Husk Fly,Walnut Husk Fly,Insect,,,1,Dibrom 8 Emulsive,,,,,,
