Simplified_Target,Target_Type,Total_Count,Original_Targets
Mites,Insect,15540,"Almond Mite, Almond Mites, Almond mite..."
Rot Diseases,Disease,11406,"Acetobacter bacteria (sour rot), Acremonium / Cephalosporium Hypocotyl Rot, Acremonium Hypocotyl Rot..."
Beetles,Insect,10152,"12 Spotted Cucumber Beetle, 12-Spotted Cucumber Beetles, 12-spotted Cucumber Beetle..."
Leaf Spot,Disease,9466,"Algal Spot, Algal spot, Alternaria (fruit spot)..."
Aphids,Insect,9342,"Aphid, Aphid (eggs), Aphid (suppression)..."
Caterpillars/Moths,Insect,8947,"1st and 2nd instar caterpillars, Ach eina Sphinx Moth, Achema Sphinx Moth..."
Blight,Disease,7432,"Aerial Blight, Aerial Web Blight, Aerial web blight..."
Weeds,Weed,6499,"American burnweed, Beggarweed, Biennial weeds..."
Leafhoppers,Insect,5994,"Apple leafhopper, Aster Leafhopper, Aster Leafhoppers..."
Powdery Mildew,Disease,5609,"Cherry Powdery Mildew, Cherry powdery mildew, Cherry powdery mildew (Podosphaera clandestina..."
Broadleaf Weeds,Weed,4910,"4-D susceptible broadleaf weeds, Annual Broadleaf Weeds, Annual Broadleaf weeds..."
Flies,Insect,4731,"Adult Walnut Husk Fly, Ash whitefly, Azalea whitefly..."
Leafrollers,Insect,4457,"Amorbia (Western Avocado Leafroller), Apple leafroller, Avocado leafroller..."
Armyworms,Insect,4362,"Armyworm, Armyworm (1st and 2nd instar), Armyworm (Beet..."
Thrips,Insect,3841,"Banded Greenhouse thrips, Banded greenhouse thrips, Bean Thrips..."
Anthracnose,Insect,3169,Anthracnose
Scab,Disease,2909,"Almond Scab, Almond scab, Apple Black Spot/Scab..."
Leafminers,Insect,2830,"Alfalfa blotch leafminers, Apple leafminer, Birch Leafminer..."
Annual Grasses,Weed,2697,"Annual Bluegrass, Annual Grasses, Annual Weeds and Grasses..."
Whiteflies,Other,2535,Whiteflies
Rust,Disease,2491,"Almond Leaf Rust, Apple Cedar Rust, Apple Rust..."
Grasses,Weed,2427,"Bahiagrass, Banks grass, Barnyardgrass..."
Cutworms,Insect,2381,"Army Cutworm, Army cutworm, Black Cutworm..."
Annual Weeds,Weed,2200,"Annual Smartweed, Annual Weeds, Annual and Biennial Weeds..."
Mealybugs,Insect,1770,"Apple mealybug, Apricot Mealybug, Citrus Mealybug..."
Downy Mildew,Disease,1538,"Basil Downy Mildew, Downy Mildew, Downy Mildew (Blue Mold)..."
Perennial Weeds,Weed,1394,"Biennial and Perennial weeds, Biennial and perennial weeds, Perennial Weeds..."
Loopers,Other,823,Loopers
Mosquitoes,Insect,819,"Adult Mosquitoes, Adult mosquitoes, Adult mosquitoes and biting flies..."
Peach Twig Borer,Insect,785,Peach Twig Borer
Plum Curculio,Other,721,Plum Curculio
Stink Bugs,Insect,692,Stink Bugs
San Jose Scale,Insect,670,San Jose Scale
Cabbage Looper,Other,649,Cabbage Looper
Corn Earworm,Insect,598,Corn Earworm
Perennial Grasses,Weed,583,"Perennial Grasses, Perennial Grasses and Sedge, Perennial grass..."
Grasshoppers,Insect,580,Grasshoppers
Psyllids,Other,572,Psyllids
Plant Bugs,Insect,537,Plant Bugs
Green Fruitworm,Insect,534,Green Fruitworm
common,Other,533,common
San Jose scale,Insect,522,San Jose scale
Gray mold,Disease,522,Gray mold
Scales,Insect,520,Scales
European Corn Borer,Insect,473,European Corn Borer
Weevils,Insect,468,Weevils
Cabbage looper,Other,460,Cabbage looper
Pear Psylla,Other,457,Pear Psylla
Ants,Insect,455,Ants
Stink bugs,Insect,450,Stink bugs
Shot Hole,Other,443,Shot Hole
Plant bugs,Insect,442,Plant bugs
Crickets,Other,440,Crickets
Nematodes,Other,436,Nematodes
Rats/Mice,Vertebrate,426,"Accelerate fruit maturation in greenhouse tomatoes, Accelerate ripening, Accelerated fruit ripening..."
Fusarium,Other,426,Fusarium
Peach twig borer,Insect,425,Peach twig borer
Bacterial Canker,Disease,421,Bacterial Canker
Pythium spp.,Other,404,Pythium spp.
European corn borer,Insect,386,European corn borer
Tobacco Budworm,Insect,378,Tobacco Budworm
Rose Chafer,Other,371,Rose Chafer
Phytophthora spp.,Other,369,Phytophthora spp.
Rhizoctonia,Other,368,Rhizoctonia
Gray Mold,Disease,367,Gray Mold
Pythium,Other,363,Pythium
Plum curculio,Other,363,Plum curculio
Spittlebugs,Insect,359,Spittlebugs
Periodical Cicada,Other,353,Periodical Cicada
Botrytis,Other,350,Botrytis
Biting flies,Other,350,Biting flies
Stink Bug species,Insect,340,Stink Bug species
Pickleworm,Insect,337,Pickleworm
Hickory Shuckworm,Insect,336,Hickory Shuckworm
Navel Orangeworm,Insect,335,Navel Orangeworm
Phytophthora,Other,329,Phytophthora
Shot hole,Other,329,Shot hole
Clover,Weed,326,Clover
Morningglory,Weed,326,Morningglory
Tarnished Plant Bug,Insect,322,Tarnished Plant Bug
Pear psylla,Other,320,Pear psylla
Earwigs,Other,317,Earwigs
Lygus spp.,Other,316,Lygus spp.
Imported Cabbageworm,Insect,315,Imported Cabbageworm
Fusarium spp.,Other,313,Fusarium spp.
Lambsquarters,Weed,304,Lambsquarters
Melonworm,Insect,303,Melonworm
Nightshade,Other,301,Nightshade
Shothole,Other,299,Shothole
Plant Bug species,Insect,298,Plant Bug species
Rhizoctonia spp.,Other,296,Rhizoctonia spp.
Wireworms,Insect,292,Wireworms
Tomato Pinworm,Insect,291,Tomato Pinworm
Corn earworm,Insect,290,Corn earworm
Flies,Other,287,Flies
American Plum Borer,Insect,282,American Plum Borer
Apple Maggot,Insect,276,Apple Maggot
Orange Tortrix,Other,268,Orange Tortrix
Tarnished plant bug,Insect,265,Tarnished plant bug
Two-spotted spider,Insect,263,Two-spotted spider
European red,Other,259,European red
Pecan Weevil,Insect,258,Pecan Weevil
Pacific spider,Insect,255,Pacific spider
Pecan Nut Casebearer,Other,255,Pecan Nut Casebearer
Plant Bug,Insect,254,Plant Bug
Strawberry spider,Insect,253,Strawberry spider
Citrus red,Other,252,Citrus red
Brown almond,Other,251,Brown almond
Scale insects,Insect,249,Scale insects
Willamette,Other,249,Willamette
McDaniel,Other,249,McDaniel
Pecan leaf scorch,Other,248,Pecan leaf scorch
Stink Bug,Insect,247,Stink Bug
Avocado red spider,Insect,246,Avocado red spider
Persea,Other,246,Persea
Borers,Insect,241,Borers
Tomato pinworm,Insect,240,Tomato pinworm
Filbertworm,Insect,239,Filbertworm
Hornworms,Insect,236,Hornworms
Pepper Weevil,Insect,233,Pepper Weevil
Snails,Other,231,Snails
Slugs,Other,231,Slugs
Woody brush and trees,Weed,225,Woody brush and trees
Cranberry Fruitworm,Insect,224,Cranberry Fruitworm
Tomato Fruitworm,Insect,223,Tomato Fruitworm
Grasshopper,Insect,215,Grasshopper
Webworms,Insect,214,Webworms
Stink Bug spp.,Insect,212,Stink Bug spp.
